series,repeat_index,mode,workload,target_sql_bytes,actual_sql_bytes,iterations,warmup,total_operations,ok_operations,error_operations,wall_total_s,throughput_ops_s,avg_us,min_us,p50_us,p95_us,p99_us,max_us,avg_alloc_bytes,p50_alloc_bytes,p95_alloc_bytes,max_alloc_bytes,avg_peak_live_bytes,p50_peak_live_bytes,p95_peak_live_bytes,max_peak_live_bytes,avg_retained_bytes,p50_retained_bytes,p95_retained_bytes,max_retained_bytes,error_message
single_call_parse,1,sqlparser-parse,insert-values,8192,8192,5000,500,5000,5000,0,15.741242696,317.6369,3147.7447,3089.057,3139.197,3207.805,3286.851,5031.033,698884.0,698884,698884,698884,533641.0,533641,533641,533641,25851.0,25851,25851,25851,
single_call_parse,2,sqlparser-parse,insert-values,8192,8192,5000,500,5000,5000,0,15.77800373,316.8969,3155.1182,3094.243,3148.307,3209.763,3267.329,5267.122,698884.0,698884,698884,698884,533641.0,533641,533641,533641,25851.0,25851,25851,25851,
single_call_parse,3,sqlparser-parse,insert-values,8192,8192,5000,500,5000,5000,0,15.768148187,317.0949,3153.2146,3095.686,3147.411,3204.631,3237.783,5177.64,698884.0,698884,698884,698884,533641.0,533641,533641,533641,25851.0,25851,25851,25851,
single_call_parse,1,native-parse,insert-values,16384,16384,2000,200,2000,2000,0,11.156232514,179.272,5540.6268,5469.167,5524.877,5626.66,5763.29,7593.79,1091719.0,1091719,1091719,1091719,1075279.0,1075279,1075279,1075279,34895.0,34895,34895,34895,
single_call_parse,2,native-parse,insert-values,16384,16384,2000,200,2000,2000,0,11.155646569,179.2814,5540.6068,5471.928,5529.229,5598.972,5671.697,7625.661,1091719.0,1091719,1091719,1091719,1075279.0,1075279,1075279,1075279,34895.0,34895,34895,34895,
single_call_parse,3,native-parse,insert-values,16384,16384,2000,200,2000,2000,0,11.142115823,179.4991,5534.6106,5465.386,5524.528,5593.144,5658.238,7749.118,1091719.0,1091719,1091719,1091719,1075279.0,1075279,1075279,1075279,34895.0,34895,34895,34895,
single_call_parse,1,sqlparser-parse,insert-values,16384,16384,2000,200,2000,2000,0,12.526193955,159.6654,6262.4898,6188.015,6250.345,6327.808,6387.536,8528.862,1413520.0,1413520,1413520,1413520,1075279.0,1075279,1075279,1075279,51393.0,51393,51393,51393,
single_call_parse,2,sqlparser-parse,insert-values,16384,16384,2000,200,2000,2000,0,12.521730375,159.7223,6260.2692,6185.129,6243.104,6330.78,6497.081,8565.959,1413520.0,1413520,1413520,1413520,1075279.0,1075279,1075279,1075279,51393.0,51393,51393,51393,
single_call_parse,3,sqlparser-parse,insert-values,16384,16384,2000,200,2000,2000,0,12.50631925,159.9192,6252.4796,6174.899,6232.204,6315.086,6434.363,8923.905,1413520.0,1413520,1413520,1413520,1075279.0,1075279,1075279,1075279,51393.0,51393,51393,51393,
single_call_parse,1,native-parse,insert-values,32768,32768,1000,100,1000,1000,0,10.59590911,94.376,10519.9677,10402.696,10505.294,10609.002,10728.134,12877.156,2221581.0,2221581,2221581,2221581,2188757.0,2188757,2188757,2188757,68605.0,68605,68605,68605,
