case,dialect,patches,input_bytes,output_bytes,full_parse_calls,handle_clone_calls,deparse_calls
expr_whole,kingbase-postgresql,6,240,276,6,1,0
expr_insert,kingbase-postgresql,6,282,354,6,1,0
expr_delete,kingbase-postgresql,6,282,246,6,1,0
expr_repeat,kingbase-postgresql,6,240,246,6,1,0
mixed_update_expr,kingbase-postgresql,6,136,172,6,1,0
insert_cell,kingbase-sqlserver,6,89,125,0,1,0
insert_copy,kingbase-sqlserver,6,89,107,5,1,0
update_literal,kingbase-sqlserver,6,90,148,0,1,0
where_literal,kingbase-sqlserver,6,97,145,1,1,1
select_target,kingbase-sqlserver,6,50,91,0,1,0
merge_cell,kingbase-sqlserver,6,139,175,0,1,0
expr_literal,kingbase-sqlserver,6,240,276,1,1,0
expr_raw,kingbase-sqlserver,6,240,276,6,1,0
expr_float,kingbase-sqlserver,6,240,234,6,1,0
expr_bind,kingbase-sqlserver,6,240,228,6,1,0
expr_field,kingbase-sqlserver,6,216,276,6,1,0
expr_whole,kingbase-sqlserver,6,240,276,6,1,0
expr_insert,kingbase-sqlserver,6,282,354,6,1,0
expr_delete,kingbase-sqlserver,6,282,246,6,1,0
expr_repeat,kingbase-sqlserver,6,240,246,6,1,0
mixed_update_expr,kingbase-sqlserver,6,136,183,6,1,3
